Date,City,Country,% Change In Waze Driven Miles/KMs
"Aug 11, 2021",Sao Paulo,Brazil,-0.16
"Aug 11, 2021",London,United Kingdom,0
"Aug 11, 2021",New York,United States,0.07
"Aug 11, 2021",Prague,Czechia,0.1
"Aug 10, 2021",San Francisco,United States,-0.41
"Aug 10, 2021",Paris,France,-0.3
"Aug 10, 2021",Sao Paulo,Brazil,-0.07
"Aug 10, 2021",London,United Kingdom,0
"Aug 10, 2021",New York,United States,0.03
"Aug 10, 2021",Prague,Czechia,0.14
"Aug 9, 2021",San Francisco,United States,-0.31
"Aug 9, 2021",Paris,France,-0.26
"Aug 9, 2021",London,United Kingdom,0.02
"Aug 9, 2021",Sao Paulo,Brazil,0.06
"Aug 9, 2021",New York,United States,0.13
"Aug 9, 2021",Prague,Czechia,0.15
"Aug 8, 2021",Paris,France,-0.36
"Aug 8, 2021",San Francisco,United States,-0.29
"Aug 8, 2021",London,United Kingdom,0
"Aug 8, 2021",Sao Paulo,Brazil,0.04
"Aug 8, 2021",New York,United States,0.05
"Aug 8, 2021",Prague,Czechia,0.35
"Aug 7, 2021",San Francisco,United States,-0.4
"Aug 7, 2021",Paris,France,-0.34
"Aug 7, 2021",Sao Paulo,Brazil,-0.03
"Aug 7, 2021",New York,United States,0.01
"Aug 7, 2021",London,United Kingdom,0.02
"Aug 7, 2021",Prague,Czechia,0.11
"Aug 6, 2021",San Francisco,United States,-0.38
"Aug 6, 2021",Paris,France,-0.27
"Aug 6, 2021",Sao Paulo,Brazil,-0.11
"Aug 6, 2021",New York,United States,0
"Aug 6, 2021",London,United Kingdom,0.03
"Aug 6, 2021",Prague,Czechia,0.04
"Aug 5, 2021",San Francisco,United States,-0.37
"Aug 5, 2021",Paris,France,-0.22
"Aug 5, 2021",Sao Paulo,Brazil,-0.14
"Aug 5, 2021",London,United Kingdom,0.03
"Aug 5, 2021",New York,United States,0.04
"Aug 5, 2021",Prague,Czechia,0.11
"Aug 4, 2021",San Francisco,United States,-0.4
"Aug 4, 2021",Paris,France,-0.21
"Aug 4, 2021",Sao Paulo,Brazil,-0.16
"Aug 4, 2021",London,United Kingdom,0.01
"Aug 4, 2021",New York,United States,0.08
"Aug 4, 2021",Prague,Czechia,0.08
"Aug 3, 2021",San Francisco,United States,-0.45
"Aug 3, 2021",Paris,France,-0.19
"Aug 3, 2021",Sao Paulo,Brazil,-0.07
"Aug 3, 2021",London,United Kingdom,0
"Aug 3, 2021",New York,United States,0.03
"Aug 3, 2021",Prague,Czechia,0.11
"Aug 2, 2021",San Francisco,United States,-0.31
"Aug 2, 2021",Paris,France,-0.16
"Aug 2, 2021",London,United Kingdom,0.01
"Aug 2, 2021",Sao Paulo,Brazil,0.02
"Aug 2, 2021",Prague,Czechia,0.1
"Aug 2, 2021",New York,United States,0.14
"Aug 1, 2021",San Francisco,United States,-0.31
"Aug 1, 2021",Paris,France,-0.25
"Aug 1, 2021",Sao Paulo,Brazil,-0.01
"Aug 1, 2021",London,United Kingdom,0.03
"Aug 1, 2021",New York,United States,0.1
"Aug 1, 2021",Prague,Czechia,0.36
"Jul 31, 2021",San Francisco,United States,-0.31
"Jul 31, 2021",Paris,France,-0.2
"Jul 31, 2021",Sao Paulo,Brazil,-0.05
"Jul 31, 2021",New York,United States,0.03
"Jul 31, 2021",London,United Kingdom,0.09
"Jul 31, 2021",Prague,Czechia,0.19
"Jul 30, 2021",San Francisco,United States,-0.38
"Jul 30, 2021",Paris,France,-0.1
"Jul 30, 2021",Sao Paulo,Brazil,-0.09
"Jul 30, 2021",New York,United States,0
"Jul 30, 2021",London,United Kingdom,0.09
"Jul 30, 2021",Prague,Czechia,0.1
"Jul 29, 2021",San Francisco,United States,-0.24
"Jul 29, 2021",Sao Paulo,Brazil,-0.13
"Jul 29, 2021",Paris,France,-0.01
"Jul 29, 2021",London,United Kingdom,0.05
"Jul 29, 2021",New York,United States,0.07
"Jul 29, 2021",Prague,Czechia,0.11
"Jul 28, 2021",San Francisco,United States,-0.26
"Jul 28, 2021",Sao Paulo,Brazil,-0.12
"Jul 28, 2021",Paris,France,0
"Jul 28, 2021",London,United Kingdom,0.04
"Jul 28, 2021",New York,United States,0.11
"Jul 28, 2021",Prague,Czechia,0.14
"Jul 27, 2021",San Francisco,United States,-0.39
"Jul 27, 2021",Paris,France,-0.03
"Jul 27, 2021",Sao Paulo,Brazil,0
"Jul 27, 2021",London,United Kingdom,0.01
"Jul 27, 2021",New York,United States,0.06
"Jul 27, 2021",Prague,Czechia,0.15
"Jul 26, 2021",San Francisco,United States,-0.34
"Jul 26, 2021",Paris,France,0
"Jul 26, 2021",London,United Kingdom,0.07
"Jul 26, 2021",New York,United States,0.11
"Jul 26, 2021",Sao Paulo,Brazil,0.13
"Jul 26, 2021",Prague,Czechia,0.24
"Jul 25, 2021",San Francisco,United States,-0.27
"Jul 25, 2021",Paris,France,-0.12
"Jul 25, 2021",Sao Paulo,Brazil,0.05
"Jul 25, 2021",New York,United States,0.08
"Jul 25, 2021",London,United Kingdom,0.09
"Jul 25, 2021",Prague,Czechia,0.46
"Jul 24, 2021",San Francisco,United States,-0.31
"Jul 24, 2021",Paris,France,-0.17
"Jul 24, 2021",Sao Paulo,Brazil,-0.03
"Jul 24, 2021",New York,United States,0.02
"Jul 24, 2021",London,United Kingdom,0.07
"Jul 24, 2021",Prague,Czechia,0.17
"Jul 23, 2021",San Francisco,United States,-0.37
"Jul 23, 2021",Sao Paulo,Brazil,-0.09
"Jul 23, 2021",Paris,France,-0.09
"Jul 23, 2021",New York,United States,0
"Jul 23, 2021",London,United Kingdom,0.06
"Jul 23, 2021",Prague,Czechia,0.07
"Jul 22, 2021",San Francisco,United States,-0.34
"Jul 22, 2021",Sao Paulo,Brazil,-0.1
"Jul 22, 2021",Paris,France,0.04
"Jul 22, 2021",New York,United States,0.05
"Jul 22, 2021",London,United Kingdom,0.08
"Jul 22, 2021",Prague,Czechia,0.17
"Jul 21, 2021",San Francisco,United States,-0.43
"Jul 21, 2021",Sao Paulo,Brazil,-0.11
"Jul 21, 2021",Paris,France,0.06
"Jul 21, 2021",New York,United States,0.07
"Jul 21, 2021",London,United Kingdom,0.08
"Jul 21, 2021",Prague,Czechia,0.17
"Jul 20, 2021",San Francisco,United States,-0.42
"Jul 20, 2021",Paris,France,-0.02
"Jul 20, 2021",Sao Paulo,Brazil,-0.02
"Jul 20, 2021",London,United Kingdom,0.05
"Jul 20, 2021",New York,United States,0.06
"Jul 20, 2021",Prague,Czechia,0.15
"Jul 19, 2021",San Francisco,United States,-0.41
"Jul 19, 2021",Paris,France,0.08
"Jul 19, 2021",London,United Kingdom,0.08
"Jul 19, 2021",Sao Paulo,Brazil,0.09
"Jul 19, 2021",New York,United States,0.15
"Jul 19, 2021",Prague,Czechia,0.23
"Jul 18, 2021",San Francisco,United States,-0.27
"Jul 18, 2021",Sao Paulo,Brazil,0.04
"Jul 18, 2021",New York,United States,0.04
"Jul 18, 2021",Paris,France,0.1
"Jul 18, 2021",London,United Kingdom,0.1
"Jul 18, 2021",Prague,Czechia,0.38
"Jul 17, 2021",San Francisco,United States,-0.33
"Jul 17, 2021",Paris,France,-0.14
"Jul 17, 2021",Sao Paulo,Brazil,-0.04
"Jul 17, 2021",London,United Kingdom,0.05
"Jul 17, 2021",New York,United States,0.05
"Jul 17, 2021",Prague,Czechia,0.18
"Jul 16, 2021",San Francisco,United States,-0.24
"Jul 16, 2021",Paris,France,-0.11
"Jul 16, 2021",Sao Paulo,Brazil,-0.06
"Jul 16, 2021",London,United Kingdom,0.02
"Jul 16, 2021",New York,United States,0.05
"Jul 16, 2021",Prague,Czechia,0.14
"Jul 15, 2021",San Francisco,United States,-0.34
"Jul 15, 2021",Sao Paulo,Brazil,-0.06
"Jul 15, 2021",Paris,France,0.01
"Jul 15, 2021",London,United Kingdom,0.04
"Jul 15, 2021",New York,United States,0.1
"Jul 15, 2021",Prague,Czechia,0.19
"Jul 14, 2021",San Francisco,United States,-0.33
"Jul 14, 2021",Sao Paulo,Brazil,-0.11
"Jul 14, 2021",Paris,France,-0.04
"Jul 14, 2021",London,United Kingdom,0.01
"Jul 14, 2021",New York,United States,0.09
"Jul 14, 2021",Prague,Czechia,0.13
"Jul 13, 2021",San Francisco,United States,-0.4
"Jul 13, 2021",Sao Paulo,Brazil,-0.02
"Jul 13, 2021",London,United Kingdom,0.01
"Jul 13, 2021",Paris,France,0.03
"Jul 13, 2021",New York,United States,0.04
"Jul 13, 2021",Prague,Czechia,0.19
"Jul 12, 2021",San Francisco,United States,-0.28
"Jul 12, 2021",Paris,France,-0.04
"Jul 12, 2021",London,United Kingdom,0.08
"Jul 12, 2021",Sao Paulo,Brazil,0.09
"Jul 12, 2021",Prague,Czechia,0.12
"Jul 12, 2021",New York,United States,0.14
"Jul 11, 2021",San Francisco,United States,-0.28
"Jul 11, 2021",Paris,France,-0.2
"Jul 11, 2021",London,United Kingdom,-0.06
"Jul 11, 2021",Sao Paulo,Brazil,-0.06
"Jul 11, 2021",Prague,Czechia,0
"Jul 11, 2021",New York,United States,0.07
"Jul 10, 2021",San Francisco,United States,-0.39
"Jul 10, 2021",Sao Paulo,Brazil,-0.15
"Jul 10, 2021",Paris,France,-0.14
"Jul 10, 2021",New York,United States,-0.03
"Jul 10, 2021",Prague,Czechia,0.01
"Jul 10, 2021",London,United Kingdom,0.02
"Jul 9, 2021",San Francisco,United States,-0.3
"Jul 9, 2021",Sao Paulo,Brazil,-0.28
"Jul 9, 2021",Prague,Czechia,-0.06
"Jul 9, 2021",New York,United States,-0.06
"Jul 9, 2021",Paris,France,-0.02
"Jul 9, 2021",London,United Kingdom,0.02
"Jul 7, 2021",San Francisco,United States,-0.34
"Jul 7, 2021",Sao Paulo,Brazil,-0.12
"Jul 7, 2021",Prague,Czechia,0.04
"Jul 7, 2021",London,United Kingdom,0.05
"Jul 7, 2021",New York,United States,0.1
"Jul 7, 2021",Paris,France,0.12
"Jul 6, 2021",San Francisco,United States,-0.28
"Jul 6, 2021",Prague,Czechia,-0.13
"Jul 6, 2021",Sao Paulo,Brazil,-0.04
"Jul 6, 2021",London,United Kingdom,0.03
"Jul 6, 2021",Paris,France,0.07
"Jul 6, 2021",New York,United States,0.21
"Jul 5, 2021",Prague,Czechia,-0.35
"Jul 5, 2021",San Francisco,United States,-0.23
"Jul 5, 2021",Sao Paulo,Brazil,0
"Jul 5, 2021",London,United Kingdom,0.01
"Jul 5, 2021",Paris,France,0.06
"Jul 5, 2021",New York,United States,0.17
"Jul 4, 2021",San Francisco,United States,-0.46
"Jul 4, 2021",Prague,Czechia,-0.28
"Jul 4, 2021",Paris,France,-0.13
"Jul 4, 2021",New York,United States,-0.12
"Jul 4, 2021",Sao Paulo,Brazil,-0.1
"Jul 4, 2021",London,United Kingdom,0.01
"Jul 3, 2021",San Francisco,United States,-0.38
"Jul 3, 2021",Prague,Czechia,-0.13
"Jul 3, 2021",New York,United States,-0.1
"Jul 3, 2021",Paris,France,-0.09
"Jul 3, 2021",Sao Paulo,Brazil,-0.08
"Jul 3, 2021",London,United Kingdom,0.06
"Jul 2, 2021",San Francisco,United States,-0.42
"Jul 2, 2021",Sao Paulo,Brazil,-0.11
"Jul 2, 2021",New York,United States,-0.04
"Jul 2, 2021",Paris,France,-0.01
"Jul 2, 2021",Prague,Czechia,0.06
"Jul 2, 2021",London,United Kingdom,0.06
"Jul 1, 2021",San Francisco,United States,-0.35
"Jul 1, 2021",Sao Paulo,Brazil,-0.14
"Jul 1, 2021",London,United Kingdom,0.04
"Jul 1, 2021",New York,United States,0.06
"Jul 1, 2021",Paris,France,0.09
"Jul 1, 2021",Prague,Czechia,0.12
"Jun 30, 2021",San Francisco,United States,-0.4
"Jun 30, 2021",Sao Paulo,Brazil,-0.14
"Jun 30, 2021",London,United Kingdom,0.07
"Jun 30, 2021",Paris,France,0.09
"Jun 30, 2021",New York,United States,0.09
"Jun 30, 2021",Prague,Czechia,0.13
"Jun 29, 2021",San Francisco,United States,-0.37
"Jun 29, 2021",Sao Paulo,Brazil,-0.09
"Jun 29, 2021",Paris,France,-0.01
"Jun 29, 2021",London,United Kingdom,0.02
"Jun 29, 2021",New York,United States,0.02
"Jun 29, 2021",Prague,Czechia,0.18
"Jun 28, 2021",San Francisco,United States,-0.27
"Jun 28, 2021",Paris,France,0.04
"Jun 28, 2021",Sao Paulo,Brazil,0.05
"Jun 28, 2021",London,United Kingdom,0.05
"Jun 28, 2021",New York,United States,0.17
"Jun 28, 2021",Prague,Czechia,0.21
"Jun 27, 2021",San Francisco,United States,-0.17
"Jun 27, 2021",Paris,France,-0.14
"Jun 27, 2021",Sao Paulo,Brazil,-0.06
"Jun 27, 2021",London,United Kingdom,0.04
"Jun 27, 2021",New York,United States,0.11
"Jun 27, 2021",Prague,Czechia,0.18
"Jun 26, 2021",San Francisco,United States,-0.28
"Jun 26, 2021",Paris,France,-0.11
"Jun 26, 2021",Sao Paulo,Brazil,-0.07
"Jun 26, 2021",Prague,Czechia,-0.02
"Jun 26, 2021",New York,United States,0.05
"Jun 26, 2021",London,United Kingdom,0.12
"Jun 25, 2021",San Francisco,United States,-0.34
"Jun 25, 2021",Sao Paulo,Brazil,-0.1
"Jun 25, 2021",Paris,France,-0.05
"Jun 25, 2021",New York,United States,0.01
"Jun 25, 2021",London,United Kingdom,0.11
"Jun 25, 2021",Prague,Czechia,0.21
"Jun 24, 2021",San Francisco,United States,-0.38
"Jun 24, 2021",Sao Paulo,Brazil,-0.12
"Jun 24, 2021",Paris,France,0.07
"Jun 24, 2021",New York,United States,0.08
"Jun 24, 2021",London,United Kingdom,0.09
"Jun 24, 2021",Prague,Czechia,0.24
"Jun 23, 2021",San Francisco,United States,-0.34
"Jun 23, 2021",Sao Paulo,Brazil,-0.13
"Jun 23, 2021",New York,United States,0.06
"Jun 23, 2021",London,United Kingdom,0.09
"Jun 23, 2021",Paris,France,0.12
"Jun 23, 2021",Prague,Czechia,0.24
"Jun 22, 2021",San Francisco,United States,-0.39
"Jun 22, 2021",Sao Paulo,Brazil,-0.05
"Jun 22, 2021",New York,United States,0.03
"Jun 22, 2021",London,United Kingdom,0.08
"Jun 22, 2021",Paris,France,0.1
"Jun 22, 2021",Prague,Czechia,0.3
"Jun 21, 2021",San Francisco,United States,-0.22
"Jun 21, 2021",Sao Paulo,Brazil,0.05
"Jun 21, 2021",London,United Kingdom,0.05
"Jun 21, 2021",Paris,France,0.15
"Jun 21, 2021",New York,United States,0.21
"Jun 21, 2021",Prague,Czechia,0.29
"Jun 20, 2021",San Francisco,United States,-0.26
"Jun 20, 2021",Sao Paulo,Brazil,-0.03
"Jun 20, 2021",Paris,France,-0.02
"Jun 20, 2021",London,United Kingdom,0.04
"Jun 20, 2021",New York,United States,0.09
"Jun 20, 2021",Prague,Czechia,0.54
"Jun 19, 2021",San Francisco,United States,-0.34
"Jun 19, 2021",Paris,France,-0.19
"Jun 19, 2021",Sao Paulo,Brazil,-0.06
"Jun 19, 2021",New York,United States,0.03
"Jun 19, 2021",Prague,Czechia,0.05
"Jun 19, 2021",London,United Kingdom,0.1
"Jun 18, 2021",San Francisco,United States,-0.34
"Jun 18, 2021",Sao Paulo,Brazil,-0.09
"Jun 18, 2021",Paris,France,-0.05
"Jun 18, 2021",New York,United States,0.03
"Jun 18, 2021",London,United Kingdom,0.11
"Jun 18, 2021",Prague,Czechia,0.19
"Jun 17, 2021",San Francisco,United States,-0.38
"Jun 17, 2021",Sao Paulo,Brazil,-0.13
"Jun 17, 2021",Paris,France,0.04
"Jun 17, 2021",New York,United States,0.07
"Jun 17, 2021",London,United Kingdom,0.09
"Jun 17, 2021",Prague,Czechia,0.26
"Jun 16, 2021",San Francisco,United States,-0.39
"Jun 16, 2021",Sao Paulo,Brazil,-0.13
"Jun 16, 2021",Paris,France,0.09
"Jun 16, 2021",New York,United States,0.1
"Jun 16, 2021",London,United Kingdom,0.11
"Jun 16, 2021",Prague,Czechia,0.31
"Jun 15, 2021",San Francisco,United States,-0.39
"Jun 15, 2021",Sao Paulo,Brazil,-0.08
"Jun 15, 2021",New York,United States,0.04
"Jun 15, 2021",London,United Kingdom,0.05
"Jun 15, 2021",Paris,France,0.05
"Jun 15, 2021",Prague,Czechia,0.31
"Jun 14, 2021",San Francisco,United States,-0.22
"Jun 14, 2021",Sao Paulo,Brazil,0.05
"Jun 14, 2021",Paris,France,0.06
"Jun 14, 2021",London,United Kingdom,0.08
"Jun 14, 2021",New York,United States,0.12
"Jun 14, 2021",Prague,Czechia,0.27
"Jun 13, 2021",San Francisco,United States,-0.25
"Jun 13, 2021",Sao Paulo,Brazil,-0.01
"Jun 13, 2021",Paris,France,0.02
"Jun 13, 2021",New York,United States,0.11
"Jun 13, 2021",London,United Kingdom,0.14
"Jun 13, 2021",Prague,Czechia,0.41
"Jun 12, 2021",San Francisco,United States,-0.35
"Jun 12, 2021",Paris,France,-0.13
"Jun 12, 2021",Sao Paulo,Brazil,-0.01
"Jun 12, 2021",Prague,Czechia,0.01
"Jun 12, 2021",New York,United States,0.01
"Jun 12, 2021",London,United Kingdom,0.11
"Jun 11, 2021",San Francisco,United States,-0.43
"Jun 11, 2021",Sao Paulo,Brazil,-0.08
"Jun 11, 2021",Paris,France,-0.05
"Jun 11, 2021",New York,United States,0.01
"Jun 11, 2021",London,United Kingdom,0.1
"Jun 11, 2021",Prague,Czechia,0.18
"Jun 10, 2021",San Francisco,United States,-0.37
"Jun 10, 2021",Sao Paulo,Brazil,-0.12
"Jun 10, 2021",Paris,France,0.04
"Jun 10, 2021",New York,United States,0.05
"Jun 10, 2021",London,United Kingdom,0.08
"Jun 10, 2021",Prague,Czechia,0.24
"Jun 9, 2021",San Francisco,United States,-0.38
"Jun 9, 2021",Sao Paulo,Brazil,-0.13
"Jun 9, 2021",Paris,France,0.05
"Jun 9, 2021",New York,United States,0.06
"Jun 9, 2021",London,United Kingdom,0.06
"Jun 9, 2021",Prague,Czechia,0.2
"Jun 8, 2021",San Francisco,United States,-0.44
"Jun 8, 2021",Sao Paulo,Brazil,-0.03
"Jun 8, 2021",Paris,France,0
"Jun 8, 2021",New York,United States,0.01
"Jun 8, 2021",London,United Kingdom,0.08
"Jun 8, 2021",Prague,Czechia,0.26
"Jun 7, 2021",San Francisco,United States,-0.3
"Jun 7, 2021",Paris,France,-0.01
"Jun 7, 2021",London,United Kingdom,0.04
"Jun 7, 2021",Sao Paulo,Brazil,0.12
"Jun 7, 2021",New York,United States,0.15
"Jun 7, 2021",Prague,Czechia,0.23
"Jun 6, 2021",San Francisco,United States,-0.27
"Jun 6, 2021",Paris,France,-0.05
"Jun 6, 2021",Sao Paulo,Brazil,0.06
"Jun 6, 2021",New York,United States,0.1
"Jun 6, 2021",London,United Kingdom,0.12
"Jun 6, 2021",Prague,Czechia,0.34
"Jun 5, 2021",San Francisco,United States,-0.44
"Jun 5, 2021",Paris,France,-0.21
"Jun 5, 2021",Sao Paulo,Brazil,-0.13
"Jun 5, 2021",New York,United States,-0.03
"Jun 5, 2021",Prague,Czechia,0
"Jun 5, 2021",London,United Kingdom,0.1
"Jun 4, 2021",San Francisco,United States,-0.43
"Jun 4, 2021",Sao Paulo,Brazil,-0.17
"Jun 4, 2021",Paris,France,-0.12
"Jun 4, 2021",New York,United States,-0.08
"Jun 4, 2021",London,United Kingdom,0.1
"Jun 4, 2021",Prague,Czechia,0.14
"Jun 3, 2021",San Francisco,United States,-0.37
"Jun 3, 2021",Sao Paulo,Brazil,-0.24
"Jun 3, 2021",Paris,France,-0.02
"Jun 3, 2021",New York,United States,0.02
"Jun 3, 2021",London,United Kingdom,0.1
"Jun 3, 2021",Prague,Czechia,0.22
"Jun 2, 2021",San Francisco,United States,-0.39
"Jun 2, 2021",Sao Paulo,Brazil,-0.11
"Jun 2, 2021",Paris,France,-0.03
"Jun 2, 2021",New York,United States,0.07
"Jun 2, 2021",London,United Kingdom,0.1
"Jun 2, 2021",Prague,Czechia,0.18
"Jun 1, 2021",San Francisco,United States,-0.23
"Jun 1, 2021",Sao Paulo,Brazil,-0.04
"Jun 1, 2021",Paris,France,-0.03
"Jun 1, 2021",London,United Kingdom,0.16
"Jun 1, 2021",New York,United States,0.18
"Jun 1, 2021",Prague,Czechia,0.2
"May 31, 2021",San Francisco,United States,-0.29
"May 31, 2021",New York,United States,-0.04
"May 31, 2021",Paris,France,0
"May 31, 2021",Sao Paulo,Brazil,0.01
"May 31, 2021",Prague,Czechia,0.19
"May 31, 2021",London,United Kingdom,0.23
"May 30, 2021",San Francisco,United States,-0.43
"May 30, 2021",New York,United States,-0.17
"May 30, 2021",Sao Paulo,Brazil,-0.08
"May 30, 2021",Paris,France,-0.08
"May 30, 2021",London,United Kingdom,0.1
"May 30, 2021",Prague,Czechia,0.29
"May 29, 2021",San Francisco,United States,-0.4
"May 29, 2021",Paris,France,-0.19
"May 29, 2021",New York,United States,-0.15
"May 29, 2021",Sao Paulo,Brazil,-0.08
"May 29, 2021",Prague,Czechia,-0.05
"May 29, 2021",London,United Kingdom,0.12
"May 28, 2021",San Francisco,United States,-0.43
"May 28, 2021",Paris,France,-0.13
"May 28, 2021",Sao Paulo,Brazil,-0.11
"May 28, 2021",New York,United States,-0.01
"May 28, 2021",Prague,Czechia,0.07
"May 28, 2021",London,United Kingdom,0.11
"May 27, 2021",San Francisco,United States,-0.44
"May 27, 2021",Sao Paulo,Brazil,-0.14
"May 27, 2021",Paris,France,-0.01
"May 27, 2021",New York,United States,0.03
"May 27, 2021",London,United Kingdom,0.1
"May 27, 2021",Prague,Czechia,0.18
"May 26, 2021",San Francisco,United States,-0.47
"May 26, 2021",Sao Paulo,Brazil,-0.15
"May 26, 2021",Paris,France,-0.02
"May 26, 2021",London,United Kingdom,0.06
"May 26, 2021",New York,United States,0.07
"May 26, 2021",Prague,Czechia,0.15
"May 25, 2021",San Francisco,United States,-0.45
"May 25, 2021",Sao Paulo,Brazil,-0.07
"May 25, 2021",New York,United States,0.01
"May 25, 2021",Paris,France,0.04
"May 25, 2021",London,United Kingdom,0.06
"May 25, 2021",Prague,Czechia,0.26
"May 24, 2021",San Francisco,United States,-0.34
"May 24, 2021",Sao Paulo,Brazil,0.03
"May 24, 2021",London,United Kingdom,0.04
"May 24, 2021",New York,United States,0.09
"May 24, 2021",Prague,Czechia,0.21
"May 24, 2021",Paris,France,0.23
"May 23, 2021",San Francisco,United States,-0.29
"May 23, 2021",Paris,France,-0.27
"May 23, 2021",Sao Paulo,Brazil,-0.07
"May 23, 2021",London,United Kingdom,0.05
"May 23, 2021",New York,United States,0.07
"May 23, 2021",Prague,Czechia,0.25
"May 22, 2021",San Francisco,United States,-0.36
"May 22, 2021",Paris,France,-0.26
"May 22, 2021",Sao Paulo,Brazil,-0.11
"May 22, 2021",Prague,Czechia,-0.04
"May 22, 2021",New York,United States,0
"May 22, 2021",London,United Kingdom,0.09
"May 21, 2021",San Francisco,United States,-0.41
"May 21, 2021",Paris,France,-0.12
"May 21, 2021",Sao Paulo,Brazil,-0.12
"May 21, 2021",New York,United States,-0.01
"May 21, 2021",London,United Kingdom,0.13
"May 21, 2021",Prague,Czechia,0.13
"May 20, 2021",San Francisco,United States,-0.44
"May 20, 2021",Sao Paulo,Brazil,-0.13
"May 20, 2021",Paris,France,-0.05
"May 20, 2021",New York,United States,0
"May 20, 2021",London,United Kingdom,0.08
"May 20, 2021",Prague,Czechia,0.16
"May 19, 2021",San Francisco,United States,-0.44
"May 19, 2021",Sao Paulo,Brazil,-0.09
"May 19, 2021",Paris,France,0.02
"May 19, 2021",New York,United States,0.08
"May 19, 2021",London,United Kingdom,0.08
"May 19, 2021",Prague,Czechia,0.14
"May 18, 2021",San Francisco,United States,-0.43
"May 18, 2021",Paris,France,-0.08
"May 18, 2021",New York,United States,-0.07
"May 18, 2021",Sao Paulo,Brazil,-0.07
"May 18, 2021",London,United Kingdom,0.06
"May 18, 2021",Prague,Czechia,0.15
"May 17, 2021",San Francisco,United States,-0.38
"May 17, 2021",New York,United States,-0.03
"May 17, 2021",Paris,France,0
"May 17, 2021",London,United Kingdom,0.03
"May 17, 2021",Sao Paulo,Brazil,0.03
"May 17, 2021",Prague,Czechia,0.15
"May 16, 2021",San Francisco,United States,-0.34
"May 16, 2021",London,United Kingdom,-0.11
"May 16, 2021",Sao Paulo,Brazil,-0.07
"May 16, 2021",Paris,France,0.01
"May 16, 2021",New York,United States,0.03
"May 16, 2021",Prague,Czechia,0.11
"May 15, 2021",San Francisco,United States,-0.42
"May 15, 2021",Paris,France,-0.35
"May 15, 2021",Sao Paulo,Brazil,-0.1
"May 15, 2021",Prague,Czechia,-0.06
"May 15, 2021",New York,United States,-0.02
"May 15, 2021",London,United Kingdom,0
"May 14, 2021",San Francisco,United States,-0.42
"May 14, 2021",Paris,France,-0.36
"May 14, 2021",Sao Paulo,Brazil,-0.13
"May 14, 2021",New York,United States,-0.05
"May 14, 2021",London,United Kingdom,0.02
"May 14, 2021",Prague,Czechia,0.14
"May 13, 2021",San Francisco,United States,-0.41
"May 13, 2021",Paris,France,-0.38
"May 13, 2021",Sao Paulo,Brazil,-0.15
"May 13, 2021",New York,United States,-0.01
"May 13, 2021",London,United Kingdom,0.04
"May 13, 2021",Prague,Czechia,0.18
"May 12, 2021",San Francisco,United States,-0.34
"May 12, 2021",Sao Paulo,Brazil,-0.22
"May 12, 2021",Paris,France,-0.11
"May 12, 2021",London,United Kingdom,-0.04
"May 12, 2021",New York,United States,0.01
"May 12, 2021",Prague,Czechia,0.1
"May 11, 2021",San Francisco,United States,-0.44
"May 11, 2021",Paris,France,-0.1
"May 11, 2021",Sao Paulo,Brazil,-0.08
"May 11, 2021",New York,United States,-0.02
"May 11, 2021",London,United Kingdom,0.04
"May 11, 2021",Prague,Czechia,0.15
"May 10, 2021",San Francisco,United States,-0.34
"May 10, 2021",Paris,France,-0.12
"May 10, 2021",London,United Kingdom,-0.01
"May 10, 2021",Sao Paulo,Brazil,0.02
"May 10, 2021",New York,United States,0.04
"May 10, 2021",Prague,Czechia,0.19
"May 9, 2021",San Francisco,United States,-0.32
"May 9, 2021",Paris,France,-0.26
"May 9, 2021",London,United Kingdom,-0.11
"May 9, 2021",New York,United States,0
"May 9, 2021",Sao Paulo,Brazil,0
"May 9, 2021",Prague,Czechia,0.26
"May 8, 2021",Paris,France,-0.39
"May 8, 2021",San Francisco,United States,-0.39
"May 8, 2021",Prague,Czechia,-0.21
"May 8, 2021",London,United Kingdom,-0.07
"May 8, 2021",Sao Paulo,Brazil,-0.06
"May 8, 2021",New York,United States,-0.05
"May 7, 2021",San Francisco,United States,-0.43
"May 7, 2021",Paris,France,-0.22
"May 7, 2021",Sao Paulo,Brazil,-0.11
"May 7, 2021",New York,United States,-0.03
"May 7, 2021",London,United Kingdom,-0.01
"May 7, 2021",Prague,Czechia,0.01
"May 6, 2021",San Francisco,United States,-0.4
"May 6, 2021",Sao Paulo,Brazil,-0.16
"May 6, 2021",Paris,France,-0.13
"May 6, 2021",Prague,Czechia,-0.05
"May 6, 2021",London,United Kingdom,-0.01
"May 6, 2021",New York,United States,0
"May 5, 2021",San Francisco,United States,-0.47
"May 5, 2021",Sao Paulo,Brazil,-0.17
"May 5, 2021",Paris,France,-0.1
"May 5, 2021",New York,United States,-0.02
"May 5, 2021",London,United Kingdom,-0.01
"May 5, 2021",Prague,Czechia,0.04
"May 4, 2021",San Francisco,United States,-0.48
"May 4, 2021",Paris,France,-0.14
"May 4, 2021",Sao Paulo,Brazil,-0.09
"May 4, 2021",New York,United States,-0.05
"May 4, 2021",London,United Kingdom,0.03
"May 4, 2021",Prague,Czechia,0.07
"May 3, 2021",San Francisco,United States,-0.34
"May 3, 2021",Paris,France,-0.14
